SimID,L,Haploid,monoecious,omega,complete,U,sigma,distance_1,distance_2,DeltaPhenExp_1,DeltaPhenExp_2,DeltaGenExp_1,DeltaGenExp_2,DeltaPhenShift,DeltaGenShift,ExtRisk
8964,4,FALSE,TRUE,1,0,0.015,0.14142135623731,618,653,0.280301236329709,0.362437436887065,-2.42147827458217,-2.41836281850634,0.252174880083939,-2.412594731836,0
8965,4,FALSE,TRUE,1,0,0.015,0.14142135623731,457,429,0.117740429054974,0.069680976705466,-1.6399522730778,-1.60183046636437,NA,NA,1
8966,4,FALSE,TRUE,1,0,0.015,0.14142135623731,542,638,-0.0490068574174005,0.313228656807354,-0.548562930242035,-0.549204439563852,NA,NA,1
8967,4,FALSE,TRUE,1,0,0.015,0.14142135623731,563,649,0.0665998483603363,0.317945710027244,-0.627725838496235,-0.627578006147399,-0.00714979682947536,-0.631714411488297,0
8968,4,FALSE,TRUE,1,0,0.015,0.14142135623731,488,506,0.0192922025516766,0.132374429532868,-2.05758927147386,-2.05658508571902,NA,NA,1
8969,4,FALSE,TRUE,1,0,0.015,0.14142135623731,586,520,0.200867285869739,-0.0155752874399859,-1.02957770176562,-1.0290331085826,NA,NA,1
8970,4,FALSE,TRUE,1,0,0.015,0.14142135623731,417,592,0.0159813009857444,0.508047037968709,-0.713976641669496,-0.713028185062117,NA,NA,1
8971,4,FALSE,TRUE,1,0,0.015,0.14142135623731,547,527,0.0406308084499278,0.0380817986715263,-1.20557581618197,-1.2051730289235,NA,NA,1
8972,4,FALSE,TRUE,1,0,0.015,0.14142135623731,608,582,0.106533714186618,0.139719964071198,-0.404200610213151,-0.404087966294089,0.182436388354291,-0.401553862068779,0
8973,4,FALSE,TRUE,1,0,0.015,0.14142135623731,451,451,0.0953567341657731,0.0950573202654967,-0.59610536211325,-0.592837059365033,NA,NA,1
8974,4,FALSE,TRUE,1,0,0.015,0.14142135623731,547,522,0.131080713532681,-0.00326816620231729,-0.865061515524751,-0.863829699520485,0.223364962534707,-0.862493671686997,0
8975,4,FALSE,TRUE,1,0,0.015,0.14142135623731,643,576,0.353598854510552,0.0822614687104126,-0.913479975858229,-0.914375881252543,0.355122076136375,-0.912620248559332,0
8976,4,FALSE,TRUE,1,0,0.015,0.14142135623731,498,474,0.166141539119375,0.08628452572695,-1.06350922371732,-1.0656824804342,NA,NA,1
8977,4,FALSE,TRUE,1,0,0.015,0.14142135623731,512,491,0.169420662106714,0.106791872583634,-0.607470872955686,-0.575366785771983,NA,NA,1
8978,4,FALSE,TRUE,1,0,0.015,0.14142135623731,484,507,0.091836669579745,0.144326849305706,-0.905840095728348,-0.907349023655995,NA,NA,1
8979,4,FALSE,TRUE,1,0,0.015,0.14142135623731,633,653,0.466620101620571,0.542408759172148,-2.27941991307359,-2.29382617807559,0.5625833393771,-2.28705972528681,0
8980,4,FALSE,TRUE,1,0,0.015,0.14142135623731,429,484,0.0129555885528765,0.0827907081435191,-1.53692947970629,-1.53750190444718,NA,NA,1
8981,4,FALSE,TRUE,1,0,0.015,0.14142135623731,528,603,-0.0120057718967641,0.280830049323689,-1.11863255717406,-1.10247105549367,NA,NA,1
8982,4,FALSE,TRUE,1,0,0.015,0.14142135623731,571,520,0.159932513957232,0.0637650974413448,-1.14635489469281,-1.14965468442233,NA,NA,1
8983,4,FALSE,TRUE,1,0,0.015,0.14142135623731,497,531,0.0211996365246352,0.095941295544673,-0.73253380979076,-0.715105342497535,NA,NA,1
8984,4,FALSE,TRUE,1,0,0.015,0.14142135623731,527,553,0.285035584132153,0.332049526123488,-1.9272459541847,-1.92858453364495,NA,NA,1
8985,4,FALSE,TRUE,1,0,0.015,0.14142135623731,490,568,-0.0275988902801403,0.155625573704252,-0.261117959446973,-0.284352796057952,NA,NA,1
8986,4,FALSE,TRUE,1,0,0.015,0.14142135623731,545,543,0.2064618560589,0.0403530177140845,-0.620791960773993,-0.621046469703148,NA,NA,1
8987,4,FALSE,TRUE,1,0,0.015,0.14142135623731,489,470,-0.0089783213938881,-0.0990790151631376,-0.563344133841519,-0.558981942496432,NA,NA,1
8988,4,FALSE,TRUE,1,0,0.015,0.14142135623731,530,539,0.07144012891963,0.0987373398970446,-0.936647685698075,-0.934831644525579,NA,NA,1
