SimID,L,Haploid,monoecious,omega,complete,MeanPhen,GenVar,SummedGenVar
155,1,TRUE,TRUE,0,1,1.21344786744365,2.3722041689777,NA
156,1,TRUE,TRUE,0,1,1.2612676391044,1.21202198034113,NA
157,1,TRUE,TRUE,0,1,1.21085611673344,0.827709649349481,NA
158,1,TRUE,TRUE,0,1,1.39279854374591,1.30826581753344,NA
159,1,TRUE,TRUE,0,1,1.42393589562458,2.59197498696648,NA
160,1,TRUE,TRUE,0,1,1.26794446495706,3.15694504907848,NA
161,1,TRUE,TRUE,0,1,1.33648108134018,2.47842879512784,NA
162,1,TRUE,TRUE,0,1,1.44992620086822,6.89772727559648,NA
163,1,TRUE,TRUE,0,1,1.35427568492426,4.64097524074781,NA
164,1,TRUE,TRUE,0,1,1.45829216694715,0.437020411254334,NA
165,1,TRUE,TRUE,0,1,1.20314721496937,1.15536285300094,NA
166,1,TRUE,TRUE,0,1,1.46196758332408,0.694635632316825,NA
167,1,TRUE,TRUE,0,1,1.56160579533759,3.51838726504341,NA
168,1,TRUE,TRUE,0,1,1.58801222535208,1.48139672962052,NA
169,1,TRUE,TRUE,0,1,1.26060596198922,0.889717126426069,NA
170,1,TRUE,TRUE,0,1,1.18960167167331,2.70579513376959,NA
171,1,TRUE,TRUE,0,1,1.39700746399739,1.65339875436165,NA
172,1,TRUE,TRUE,0,1,1.13379131354236,0.839372196444731,NA
173,1,TRUE,TRUE,0,1,1.29883858757434,1.61896284465288,NA
174,1,TRUE,TRUE,0,1,1.34885812370141,0.467179022675185,NA
175,1,TRUE,TRUE,0,1,1.03846805689018,1.73867011814784,NA
176,1,TRUE,TRUE,0,1,1.10618460460049,2.01979943507964,NA
177,1,TRUE,TRUE,0,1,1.22779197585221,1.98896663493796,NA
178,1,TRUE,TRUE,0,1,1.2238632407714,3.22004213788504,NA
179,1,TRUE,TRUE,0,1,1.03260808746459,0.763700620166259,NA
180,1,TRUE,TRUE,0,1,1.32151382883677,2.34667170705887,NA
181,1,TRUE,TRUE,0,1,1.40317108010339,0.598337141498351,NA
182,1,TRUE,TRUE,0,1,1.36665094025007,2.04146534950212,NA
